address,city,state,zipCode,lat,lon,rooms,squareFeet,price,shortest distance to public trans
615 Silver Ave,San Francisco,CA,94134,37.728986,-122.423517,2,862,899900,0.6301089365570591
1632 81st Ave,Oakland,CA,94621,37.757525,-122.177091,3,1376,477777,1.1191728591644383
"10 Innes Ct #303 Plan, The San Francisco Shipyard   Landing",San Francisco,CA,94124,37.7273,-122.371,3,1223,975000,1.1444815625752607
5750 Kingsley Cir,Oakland,CA,94605,37.772986,-122.190841,2,619,399000,1.1623824127931146
649 Spokane Ave,Albany,CA,94706,37.895883,-122.293486,2,1171,699000,0.5535890639343162
320 Vallejo Dr APT 9,Millbrae,CA,94030,37.584339,-122.40456,2,995,750000,1.1661549467817187
1519 Encinal Ave,Alameda,CA,94501,37.769983,-122.260526,0,3862,1500000,1.1712144278851417
1006 Ocean View Ave,Daly City,CA,94014,37.702354,-122.45949,3,2213,1249000,0.579159407612988
5701 Ayala Ave,Oakland,CA,94609,37.842781,-122.259427,0,2426,1120000,0.4596468441409067
950 Tennessee St # 110,San Francisco,CA,94107,37.759747,-122.389882,2,1160,1430000,0.2321052372879019
2056 Asilomar Dr,Oakland,CA,94611,37.829582,-122.20334,3,1888,779000,0.9143616648750118
3979 3981 24th St,San Francisco,CA,94114,37.751216,-122.431311,2,6000,3950000,0.7059909350741401
1621 Ocean View Ave,Kensington,CA,94707,37.899536,-122.285399,3,1124,899000,0.7697645358615408
5306 San Pablo Ave,Oakland,CA,94608,37.837269,-122.281938,4,3209,1799000,0.9921478375044265
734 14th Street Condominiums,San Francisco,CA,94114,37.767911,-122.429697,2,707,875000,0.5810082591724143
1525 Glenn St,Hayward,CA,94545,37.649561,-122.116153,3,1546,750000,1.035847531401697
325 Dutton Ave,San Leandro,CA,94577,37.732311,-122.155557,4,2743,1199000,0.7730020398940011
291 Palisades Dr,Daly City,CA,94015,37.688489,-122.491865,2,1090,974950,1.1699110189979105
33 Harbor View Dr,Richmond,CA,94804,37.907921,-122.348168,3,1695,1100000,1.1801092109618205
2124 7th St,Berkeley,CA,94710,37.865958,-122.29622,2,1213,1054000,0.9159502902759609
4395 24th St,San Francisco,CA,94114,37.750778,-122.44038,3,1505,1650000,1.1819260706010273
1340 Ashby Ave,Berkeley,CA,94702,37.852759,-122.282385,2,1254,499500,0.679670819353897
785 Taft Ave APT 8,Albany,CA,94706,37.893397,-122.303594,2,830,605000,0.6869329189188459
919 46th St,Oakland,CA,94608,37.835096,-122.273874,2,1052,649000,0.5598149485244971
785 Taft Ave APT 3,Albany,CA,94706,37.893397,-122.303594,1,620,449000,0.6869329189188459
66 Hillcrest Rd,Berkeley,CA,94705,37.851662,-122.247868,6,5784,3800000,0.5180307746384515
1049 Ordway St,Albany,CA,94706,37.884637,-122.284997,4,2041,1325000,0.7224845539781034
4918 Webster St,Oakland,CA,94609,37.835838,-122.259456,3,1760,1295000,0.6253913015340328
77 Fairmount Ave APT 302,Oakland,CA,94611,37.815889,-122.260382,2,1159,699000,0.6592753467577899
950 Tennessee St # 108,San Francisco,CA,94107,37.759747,-122.389882,1,776,923000,0.2321052372879019
950 Tennessee St # 323,San Francisco,CA,94107,37.759747,-122.389882,0,422,700000,0.2321052372879019
1230 Shafter Ave,San Francisco,CA,94124,37.727348,-122.383682,2,1012,799000,0.7555970291984297
568 9th St,Oakland,CA,94607,37.802394,-122.276128,3,1418,995000,0.2582489001220566
1641 Grand Ave,Piedmont,CA,94611,37.82589,-122.243592,4,2186,1195000,0.6102513870377602
950 Tennessee St # 317,San Francisco,CA,94107,37.759747,-122.389882,0,431,664000,0.2321052372879019
140 S Van Ness Ave UNIT 711,San Francisco,CA,94103,37.771563,-122.418801,1,795,799000,0.43129308837592256
3620 Allendale Ave,Oakland,CA,94619,37.788038,-122.207317,2,748,380000,0.6199856967589561
709 San Bruno Ave,San Francisco,CA,94107,37.760466,-122.404753,3,1700,1595000,0.6823747861502162
26 Bernice St,San Francisco,CA,94103,37.769958,-122.414186,2,891,704442,0.43363158008471464
1274A Delaware St,Berkeley,CA,94702,37.871917,-122.287463,1,600,685000,0.2856402288019346
612 Bridgeport Ln,Foster City,CA,94404,37.545298,-122.269178,2,1710,1799000,0.665640268797841
708 Long Bridge St APT 1010,San Francisco,CA,94158,37.77171,-122.393708,2,1452,2000000,0.34871286246800415
1525 Latitudes Way,Richmond,CA,94804,37.9136,-122.3463,2,1713,748990,0.703889655987846
1120 Addison St,Berkeley,CA,94702,37.868076,-122.29063,3,1252,599000,0.5917292780571267
2511 Outrigger Dr # 108,San Leandro,CA,94577,37.691708,-122.179284,2,1033,495000,0.8781962365463971
2361 E 22nd St,Oakland,CA,94601,37.788412,-122.229788,0,2156,749000,0.9227275655317584
4333 Cabrillo St,San Francisco,CA,94121,37.773232,-122.505291,5,1866,1398000,0.9409732395977092
255 Trinidad Dr,Tiburon,CA,94920,37.914853,-122.479209,3,2296,1695000,0.9812674597112376
"01 Plan, 1433 Bush St.",San Francisco,CA,94109,37.788434,-122.420854,3,1087,1325000,0.7265175333243575
1025 Cabrillo Ave,Burlingame,CA,94010,37.580443,-122.365563,5,4680,5850000,0.5160122795765957
1641 89th Ave,Oakland,CA,94621,37.751984,-122.171948,3,1020,399000,0.7555368943116906
2526 Ritchie St,Oakland,CA,94605,37.762062,-122.171355,2,881,425000,0.991749943999842
